img_path,covid
COVID-1975.png,1
COVID-1976.png,1
COVID-1977.png,1
COVID-1978.png,1
COVID-1979.png,1
COVID-198.png,1
COVID-1980.png,1
COVID-1981.png,1
COVID-1982.png,1
COVID-1983.png,1
COVID-1984.png,1
COVID-1985.png,1
COVID-1986.png,1
COVID-1987.png,1
COVID-1988.png,1
COVID-1989.png,1
COVID-199.png,1
COVID-1990.png,1
COVID-1991.png,1
COVID-1992.png,1
COVID-1993.png,1
COVID-1994.png,1
COVID-1995.png,1
COVID-1996.png,1
COVID-1997.png,1
COVID-1998.png,1
COVID-1999.png,1
COVID-2.png,1
COVID-20.png,1
COVID-200.png,1
COVID-2000.png,1
COVID-2001.png,1
COVID-2002.png,1
COVID-2003.png,1
COVID-2004.png,1
COVID-2005.png,1
COVID-2006.png,1
COVID-2007.png,1
COVID-2008.png,1
COVID-2009.png,1
COVID-201.png,1
COVID-2010.png,1
COVID-2011.png,1
COVID-2012.png,1
COVID-2013.png,1
COVID-2014.png,1
COVID-2015.png,1
COVID-2016.png,1
COVID-2017.png,1
COVID-2018.png,1
COVID-2019.png,1
COVID-202.png,1
COVID-2020.png,1
COVID-2021.png,1
COVID-2022.png,1
COVID-2023.png,1
COVID-2024.png,1
COVID-2025.png,1
COVID-2026.png,1
COVID-2027.png,1
COVID-2028.png,1
COVID-2029.png,1
COVID-203.png,1
COVID-2030.png,1
COVID-2031.png,1
COVID-2032.png,1
COVID-2033.png,1
COVID-2034.png,1
COVID-2035.png,1
COVID-2036.png,1
COVID-2037.png,1
COVID-2038.png,1
COVID-2039.png,1
COVID-204.png,1
COVID-2040.png,1
COVID-2041.png,1
COVID-2042.png,1
COVID-2043.png,1
COVID-2044.png,1
COVID-2045.png,1
COVID-2046.png,1
COVID-2047.png,1
COVID-2048.png,1
COVID-2049.png,1
COVID-205.png,1
COVID-2050.png,1
COVID-2051.png,1
COVID-2052.png,1
COVID-2053.png,1
COVID-2054.png,1
COVID-2055.png,1
COVID-2056.png,1
COVID-2057.png,1
COVID-2058.png,1
COVID-2059.png,1
COVID-206.png,1
COVID-2060.png,1
COVID-2061.png,1
COVID-2062.png,1
COVID-2063.png,1
COVID-2064.png,1
COVID-2065.png,1
COVID-2066.png,1
COVID-2067.png,1
COVID-2068.png,1
COVID-2069.png,1
COVID-207.png,1
COVID-2070.png,1
COVID-2071.png,1
COVID-2072.png,1
COVID-2073.png,1
COVID-2074.png,1
COVID-2075.png,1
COVID-2076.png,1
COVID-2077.png,1
COVID-2078.png,1
COVID-2079.png,1
COVID-208.png,1
COVID-2080.png,1
COVID-2081.png,1
COVID-2082.png,1
COVID-2083.png,1
COVID-2084.png,1
COVID-2085.png,1
COVID-2086.png,1
COVID-2087.png,1
COVID-2088.png,1
COVID-2089.png,1
COVID-209.png,1
COVID-2090.png,1
COVID-2091.png,1
COVID-2092.png,1
COVID-2093.png,1
COVID-2094.png,1
COVID-2095.png,1
COVID-2096.png,1
COVID-2097.png,1
COVID-2098.png,1
COVID-2099.png,1
COVID-21.png,1
COVID-210.png,1
COVID-2100.png,1
COVID-2101.png,1
COVID-2102.png,1
COVID-2103.png,1
COVID-2104.png,1
COVID-2105.png,1
COVID-2106.png,1
COVID-2107.png,1
COVID-2108.png,1
COVID-2109.png,1
COVID-211.png,1
COVID-2110.png,1
COVID-2111.png,1
COVID-2112.png,1
COVID-2113.png,1
COVID-2114.png,1
COVID-2115.png,1
COVID-2116.png,1
COVID-2117.png,1
COVID-2118.png,1
COVID-2119.png,1
COVID-212.png,1
COVID-2120.png,1
COVID-2121.png,1
COVID-2122.png,1
COVID-2123.png,1
COVID-2124.png,1
COVID-2125.png,1
COVID-2126.png,1
COVID-2127.png,1
COVID-2128.png,1
COVID-2129.png,1
COVID-213.png,1
COVID-2130.png,1
COVID-2131.png,1
COVID-2132.png,1
COVID-2133.png,1
COVID-2134.png,1
COVID-2135.png,1
COVID-2136.png,1
COVID-2137.png,1
COVID-2138.png,1
COVID-2139.png,1
COVID-214.png,1
COVID-2140.png,1
COVID-2141.png,1
COVID-2142.png,1
COVID-2143.png,1
COVID-2144.png,1
COVID-2145.png,1
COVID-2146.png,1
COVID-2147.png,1
COVID-2148.png,1
COVID-2149.png,1
COVID-215.png,1
COVID-2150.png,1
COVID-2151.png,1
COVID-2152.png,1
COVID-2153.png,1
COVID-2154.png,1
COVID-2155.png,1
COVID-2156.png,1
COVID-2157.png,1
COVID-2158.png,1
COVID-2159.png,1
COVID-216.png,1
COVID-2160.png,1
COVID-2161.png,1
COVID-2162.png,1
COVID-2163.png,1
COVID-2164.png,1
